Country,X1 (Seafood),X2 (Meat),X3 (Offals),X4 (Spices),X5 (Vegetables),X6 (Obesity),Y (Percentage of confirmed case)
United Kingdom,0.5176,12.5789,0.0745,0.1276,0.2127,29.5,0.902988386
United Republic of Tanzania,0.4558,3.014,0,0.1302,0.2419,7.1,0.000852111
United States of America,0.3887,9.4166,0.009,0.0867,0.1944,37.3,2.353156622
Uruguay,0.3281,12.2841,0.0729,0.0319,0.2096,28.9,0.064967431
Uzbekistan,0.0962,10.3624,0.1743,0.018,0.8535,15.3,0.178785041
Venezuela (Bolivarian Republic of),0.5707,7.0949,0.2082,0,0.1851,25.2,0.290232152
Vietnam,1.1217,26.4292,0.3378,0.6309,0.6373,2.1,0.001152699
Yemen,0.3847,8.001,0.2436,0.1026,0.1667,14.1,0.006879903
Zambia,1.007,4.901,0.179,0.1567,0.1567,6.5,0.084083986
Zimbabwe,0.2455,4.5674,0.1315,0.0526,0.0789,12.3,0.053898944
